Quantity,Mfg,Mfg Part Number,Digi-Key Part Number,Mouser Part Number,Customer Reference,Notes
1,Adafruit,1609_,1528-1195-ND,485-1609,1/2-SIZE PERMA-PROTO,See Amazon list for 3-pack
1,Microchip Technology,MCP3202-BI/P,MCP3202-BI/P-ND,579-MCP3202-BI/P,MCP3202,ADC
1,Texas Instruments,TLV2462CP,296-1892-5-ND,595-TLV2462CP,TLV2462,Op amps
2,Cornell Dubilier,108CKS100MRY,1572-1313-ND,598-108CKS100MRY,C1_C2,Load capacitors
2,Vishay,K104K10X7RF5UH5,BC2665CT-ND,594-K104K10X7RF5UH5,C3_C6,
2,KEMET,C315C222K1R5TA,399-4166-ND,N/A,C4_C5,
1,Vishay,AC05000004709JAC00,PPC5W47.0CT-ND,594-AC05W47R00J,RB,Bleed resistor
1,Ohmite,13FR005E,13FR005E-ND,588-13FR005E,SHUNT,
1,SMC Diode Solutions,15SQ100TR,1655-1355-1-ND,N/A,100V_DIODE,Bypass diode
2,Preci-dip,110-87-308-41-001101,1212-1003-ND,437-1108730841001101,DIP_SOCKET,Also available on Amazon list (qty 60)
1,Pomona Electronics,6884,501-1713-ND,565-6884,BINDING POSTS,
2,Phoenix Contact,3240080,277-11154-ND,651-3240080,CABLE RING CONNECTORS,Not needed if solid wire is used
1,Mueller Electric,BU-P6883,314-1549-ND,548-BU-P6883,ALT_1 BINDING POSTS,
2,KEMET,C315C222K1R5TA7303,399-14037-1-ND,80-C315C222K1R5TATU,ALT_1 C4_C5,
1,Microchip Technology,MCP3202-CI/P,MCP3202-CI/P-ND,579-MCP3202-CI/P,ALT_1 MCP3202,ADC
1,Vishay,AC05AT0004709JAC00,749-1863-1-ND,594-AC05AT0004709JAC,ALT_1 RB,Bleed resistor
1,Riedon,MT2B-0R005F1,696-1733-ND,N/A,ALT_1 SHUNT,
1,Texas Instruments,TLV2462IP,296-1893-5-ND,595-TLV2462IP,ALT_1 TLV2462,Op amps
1,SMC Diode Solutions,12TQ100,1655-1001-ND,N/A,ALT_1 100V_DIODE,Bypass diode
1,CLIFF Electronic Components Ltd,CL159706PA,3185-CL159706PA-ND,N/A,ALT_2 BINDING POSTS,
2,Kyocera AVX,SR201A222JAA,478-11700-ND,581-SR201A222J,ALT_2 C4_C5,
1,TE Connectivity,SQPW547RJ,A137443-ND,279-SQPW547RJ,ALT_2 RB,Bleed resistor
1,Ohmite,15FR005E,15FR005E-ND,588-15FR005E,ALT_2 SHUNT,
1,SMC Diode Solutions,12TQ150,1655-1002-ND,N/A,ALT_2 100V_DIODE,Bypass diode
1,CLIFF Electronic Components Ltd,CL159706PB,3185-CL159706PB-ND,N/A,ALT_3 BINDING POSTS,
1,Ohmite,12FR005E,12FR005E-ND,588-12FR005E,ALT_3 SHUNT,
1,SMC Diode Solutions,12TQ200,1655-1003-ND,N/A,ALT_3 100V_DIODE,Bypass diode